,,,,,,
,"Aberdeen, SD",USA,ABR,,,
,"Abilene, TX",USA,ABI,,,
,"Akron, OH",USA,CAK,,,
,"Albany, GA",USA,ABY,,,
,"Albany, NY",USA,ALB,,,
,"Albuquerque, NM",USA,ABQ,,,
,"Alexandria, La",USA,ESF,,,
,"Allentown, PA",USA,ABE,,,
,"Altoona, PA",USA,AOO,,,
,"Amarillo, TX",USA,AMA,,,
,"Anchorage, AK",USA,ANC,,,
,"Ann Arbor, MI",USA,ARB,,,
,"Anniston, AL",USA,ANB,,,
,"Appelton/Neenah/Menasha, WI",USA,ATW,,,
,"Asheville, NC",USA,AVL,,,
,"Aspen Snowmass, CO",USA,ASE,,,
,"Athens, GA",USA,AHN,,,
,"Athens, OH",USA,ATO,,,
,"Atlanta, Hartsfield Atlanta Int'l Airport",USA,ATL,,,
,"Atlantic City, NJ",USA,ACY,,,
,"Augusta, GA",USA,AGS,,,
,"Augusta, ME",USA,AUG,,,
,"Austin, TX",USA,AUS,,,
,"Bakersfield, CA",USA,BFL,,,
,Baltimore Washington Int'l Airport; MD,USA,BWI,,,
,"Bangor, ME",USA,BGR,,,
,"Baton Rouge, La",USA,BTR,,,
,"Beaumont/Pt. Arthur, TX",USA,BPT,,,
,"Beckley, WV",USA,BKW,,,
,"Bellingham, WA",USA,BLI,,,
,"Bemidji, MN",USA,BJI,,,
,"Benton Harbour, MI",USA,BEH,,,
,"Bethel, AK",USA,BET,,,
,"Billings, MT",USA,BIL,,,
,"Birmingham, AL",USA,BHM,,,
,"Bismarck/Mandan, ND",USA,BIS,,,
,"Bloomington, IL",USA,BMI,,,
,"Bloomington, IN",USA,BMG,,,
,"Bluefield, WV",USA,BLF,,,
,"Boise, ID",USA,BOI,,,
,"Borrego Springs, CA",USA,BXS,,,
,"Boston - Logan, MA",USA,BOS,,,
,"Bozeman, MT",USA,BZN,,,
,"Bradford/Warren, PA/Olean, NY",USA,BFD,,,
,"Brainerd, MN",USA,BRD,,,
,"Bridgeport, CT",USA,BDR,,,
,"Brookings, SD",USA,BKX,,,
,"Brunswick, GA",USA,BQK,,,
